iter	Passed	Remaining
641	59749	33318
642	59865	33238
643	60061	33201
644	60098	33077
645	60130	32950
646	60242	32868
647	60553	32893
648	60616	32783
649	60716	32693
650	60801	32595
651	60893	32501
652	61449	32654
653	61653	32617
654	61833	32568
655	62057	32542
656	62462	32610
657	62550	32510
658	62943	32570
659	63035	32472
660	63121	32372
661	63190	32263
662	63397	32224
663	63642	32204
664	63752	32116
665	63920	32056
666	64225	32064
667	64301	31958
668	64412	31869
669	64731	31882
670	64863	31803
671	64983	31718
672	65092	31627
673	65425	31644
674	65447	31511
675	65548	31416
676	65709	31350
677	65750	31226
678	65879	31144
679	66108	31110
680	66236	31027
681	66373	30948
682	66502	30865
683	66543	30742
684	66656	30652
685	66717	30538
686	66840	30452
687	67007	30386
688	67078	30277
689	67157	30172
690	67280	30086
691	67359	29980
692	67451	29881
693	67537	29778
694	67616	29673
695	67720	29578
696	67780	29465
697	67903	29379
698	68045	29301
699	68160	29211
700	68223	29099
701	68340	29010
702	68469	28926
703	68544	28819
704	68679	28738
705	68765	28636
706	68814	28518
707	68915	28422
708	69011	28324
709	69122	28233
710	69220	28135
711	69346	28050
712	69459	27959
713	69596	27877
714	69739	27798
715	69828	27697
716	70015	27635
717	70194	27569
718	70318	27481
719	70401	27378
720	70513	27286
721	70812	27265
722	71314	27322
723	71521	27265
724	71795	27232
725	72162	27235
726	72304	27151
727	72412	27055
728	72426	26923
729	72687	26884
730	72831	26801
731	72959	26712
732	73129	26637
733	73336	26576
734	73395	26462
735	73514	26369
736	73598	26263
737	73753	26183
738	73828	26074
739	73966	25988
740	74093	25897
741	74297	25833
742	74488	25765
743	74697	25702
744	74782	25596
745	74898	25501
746	74969	25391
747	75337	25381
748	75513	25305
749	75672	25224
750	75891	25162
751	76212	25133
752	76359	25047
753	76429	24935
754	76648	24872
755	76769	24777
756	77466	24866
757	77564	24763
758	77714	24676
759	77903	24601
760	77989	24493
761	78358	24474
762	78667	24435
763	79367	24516
764	79546	24435
765	79613	24320
766	79702	24212
767	79836	24117
768	79918	24006
769	80019	23901
770	80148	23805
771	80265	23705
772	80424	23617
773	80528	23513
774	80720	23434
775	80897	23351
776	81034	23256
777	81123	23148
778	81198	23035
779	81311	22933
780	81438	22836
781	81565	22738
782	81663	22632
783	81842	22548
784	82545	22607
785	82676	22509
786	82855	22424
787	82941	22314
788	83224	22256
789	83348	22155
790	83546	22074
791	83643	21967
792	83809	21877
793	83980	21788
794	84157	21700
795	84266	21595
796	84338	21481
797	84457	21378
798	84585	21278
799	84665	21166
800	84918	21097
801	85211	21037
802	85462	20966
803	85553	20856
804	86067	20848
805	86231	20755
806	86467	20679
807	86670	20595
808	86772	20486
809	86907	20385
810	87032	20282
811	87370	20228
812	87732	20179
813	87851	20074
814	88022	19980
815	88347	19921
816	88567	19838
817	88692	19733
818	88812	19627
819	88862	19506
820	89224	19453
821	89331	19344
822	89406	19228
823	89698	19158
824	89874	19064
825	89969	18952
826	90115	18851
827	90247	18747
828	90349	18636
829	90479	18531
830	90616	18428
831	90769	18328
832	91011	18246
833	91224	18157
834	91289	18039
835	91442	17938
836	91604	17839
837	91822	17750
838	92060	17665
839	92223	17566
840	92374	17464
841	92588	17374
842	92686	17261
843	92777	17148
844	92823	17026
845	92994	16928
846	93097	16816
847	93167	16699
848	93194	16575
849	93243	16454
850	93345	16343
851	93468	16236
852	93590	16128
853	93650	16010
854	93748	15898
855	93945	15803
856	94020	15688
857	94083	15570
858	94154	15454
859	94273	15346
860	94481	15253
861	94593	15143
862	94689	15031
863	94852	14930
864	94927	14815
865	95013	14701
866	95159	14597
867	95244	14484
868	95376	14377
869	95441	14261
870	95499	14144
871	95622	14036
872	95720	13925
873	95733	13801
874	95784	13683
875	95930	13579
876	95968	13459
877	96043	13345
878	96082	13226
879	96221	13121
880	96316	13009
881	96398	12896
882	96522	12789
883	96623	12679
884	96761	12573
885	96967	12476
886	97119	12372
887	97286	12270
888	97341	12153
889	97517	12052
890	97588	11938
891	97681	11826
892	97793	11717
893	97884	11606
894	97991	11496
895	98060	11382
896	98130	11268
897	98257	11160
898	98317	11045
899	98449	10938
900	98551	10828
901	98652	10718
902	98799	10612
903	98850	10497
904	98950	10387
905	99048	10276
906	99139	10165
907	99258	10057
908	99394	9950
909	99471	9837
910	99564	9726
911	99650	9615
912	99723	9502
913	99802	9390
914	99908	9281
915	100017	9171
916	100098	9060
917	100149	8945
918	100210	8832
919	100295	8721
920	100427	8614
921	100585	8509
922	100689	8399
923	100790	8290
924	101007	8189
925	101180	8085
926	101261	7974
927	101528	7877
928	101678	7770
929	101866	7667
